"#META","7","2","city","〇〇市"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻","回答部","担当者名","本答弁原稿","再質問番号","再質問内容","再質問担当部署","回答番号","再質問答弁者","再質問答弁本文"
"R0702010201000000","1","〇〇 一郎","〇〇会","","","","自主防災組織の結成率及び活動の担い手不足への対応について","","","","","","","","","9","8/29 13:24","","","","","","","","",""
"R0702010201010000","1","〇〇 一郎","〇〇会","","","","","自主防災組織の高齢化が進む中、若年層の参加を促す取組について問う","若年層向け訓練の企画","大学・企業との連携","","","","〇〇課","","10","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","大学や地元企業と連携した合同防災訓練を年2回実施しており、若年層の参加者数は前年比で増加しています。今後もSNS等を活用した広報を強化してまいります。","","","","","",""
"R0702010201020000","1","〇〇 一郎","〇〇会","","","","","","","","","","","〇〇課","","11","8/29 13:24","","","","","","","","",""
"R0702010202000000","1","〇〇 一郎","〇〇会","","","","学校における防災教育の実施状況と地域との連携について","","","","","","","","","12","8/29 13:24","","","","","","","","",""
"R0702010202010000","1","〇〇 一郎","〇〇会","","","","","児童生徒が参加する避難所運営訓練の実施状況と今後の拡充方針について問う","実施校数の拡大","地域住民との合同訓練","","","","〇〇課","","13","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","現在、小中学校18校で避難所運営訓練を実施しており、令和8年度中に全校での実施を目指します。地域住民との合同訓練についても順次拡大してまいります。","","","","","",""
"R0702020100000000","2","〇〇 二郎","〇〇党","","","少子化の進行を踏まえた切れ目のない子育て支援の充実と、保育の受入体制の拡充について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702020101000000","2","〇〇 二郎","〇〇党","","","","保育所等における待機児童及び潜在的待機児童の解消に向けた取組について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702020101010000","2","〇〇 二郎","〇〇党","","","","","年度途中入所の弾力的な運用の実施状況と、保育士確保のための処遇改善策について問う","年度途中入所の弾力運用","保育士の処遇改善","宿舎借上げ支援の周知","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","年度途中入所については、定員に対する弾力運用を行い、令和7年度は前年度比で20名多く受け入れました。保育士の処遇改善として、市独自の処遇改善手当を継続して支給しています。","","","","","",""
"R0702020101010100","2","〇〇 二郎","〇〇党","","","","","","","","","","","","","","8/29 13:24","","","","1","処遇改善手当の具体的な支給額と、近隣自治体との比較における水準について再質問する。","〇〇部〇〇課","","",""
"R0702020101010101","2","〇〇 二郎","〇〇党","","","","","","","","","","","","","","8/29 13:24","","","","1","処遇改善手当の具体的な支給額と、近隣自治体との比較における水準について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","月額最大2万円を支給しており、近隣自治体と比較しても遜色ない水準と認識しています。"
"R0702020101010102","2","〇〇 二郎","〇〇党","","","","","","","","","","","","","","8/29 13:24","","","","1","処遇改善手当の具体的な支給額と、近隣自治体との比較における水準について再質問する。","〇〇部〇〇課","2","〇〇課長　〇〇　〇〇","補足として、令和8年度からは経験年数に応じた加算も検討しております。"
"R0702020101020000","2","〇〇 二郎","〇〇党","","","","","医療的ケア児の受入体制の整備状況と、看護師配置の現状について問う","看護師の配置状況","付添い負担の軽減","","","","〇〇課","","4","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","医療的ケア児の受入園は現在5園で、看護師を各園に配置しています。保護者の付添い負担軽減に向け、令和8年度から受入園の拡大を予定しています。","","","","","",""
"R0702020102000000","2","〇〇 二郎","〇〇党","","","","放課後児童クラブの待機児童及び施設環境の改善について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702020102010000","2","〇〇 二郎","〇〇党","","","","","小学校高学年の受入枠の拡大状況と、支援員の確保に向けた取組について問う","高学年の受入枠拡大","支援員の確保","夏季休業中の昼食提供","","","〇〇課","","6","8/29 13:24","","","","","","","","",""
"R0702020102010100","2","〇〇 二郎","〇〇党","","","","","","","","","","","","","","8/29 13:24","","","","1","支援員不足が深刻化している現状を踏まえ、資格取得支援等の具体策について再質問する。","〇〇部〇〇課","","",""
"R0702020102020000","2","〇〇 二郎","〇〇党","","","","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702020200000000","2","〇〇 二郎","〇〇党","","","物価高騰下における子育て世帯への経済的支援の充実について","","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702020201000000","2","〇〇 二郎","〇〇党","","","","学校給食費の無償化に向けた検討状況と財源確保について","","","","","","","","","9","8/29 13:24","","","","","","","","",""
"R0702020201010000","2","〇〇 二郎","〇〇党","","","","","学校給食費の無償化を実施した場合に必要となる財源の規模と段階的実施の可能性について問う","必要財源の試算","段階的実施の可否","近隣自治体の状況","","","〇〇課","","10","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","完全無償化には年間約3億円の財源が必要と試算しています。まずは多子世帯を対象とした段階的な軽減策から着手する方向で検討を進めています。","","","","","",""
"R0702020201020000","2","〇〇 二郎","〇〇党","","","","","就学援助制度の認定基準及び周知方法の見直しについて問う","認定基準の見直し","周知方法の改善","申請のオンライン化","","","〇〇課","","11","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","就学援助の周知については、入学説明会及び転入時の窓口案内を強化しました。申請のオンライン化は令和8年度中の導入を目指し、システム構築を進めています。","","","","","",""
"R0702030100000000","3","〇〇 三郎","〇〇の会","","","高齢化の進展に対応した地域包括ケアシステムの構築及び介護人材の確保について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702030101000000","3","〇〇 三郎","〇〇の会","","","","介護人材の不足に対する市独自の支援策の実施状況について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702030101010000","3","〇〇 三郎","〇〇の会","","","","","介護職員初任者研修の受講費助成の実績と、市独自の処遇改善策の検討状況について問う","受講費助成の実績","市独自策の検討","","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","受講費助成は年間約80名が利用しており、着実に人材確保につながっています。市独自の処遇改善策については、他自治体の事例を調査のうえ検討してまいります。","","","","","",""
"R0702030101020000","3","〇〇 三郎","〇〇の会","","","","","外国人介護人材の受入支援と生活面でのサポート体制について問う","日本語学習支援","住居確保支援","","","","〇〇課","","4","8/29 13:24","","","","","","","","",""
"R0702030102000000","3","〇〇 三郎","〇〇の会","","","","認知症施策の推進と地域における見守り体制の強化について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702030102010000","3","〇〇 三郎","〇〇の会","","","","","認知症サポーター養成講座の実施状況と、養成後の活動の場の確保について問う","認知症サポーター養成の拡充","活動の場の確保","","","","〇〇課","","6","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","認知症サポーターは累計約1万2千人を養成しており、地域の見守りネットワークへの登録を進めています。今後は企業向け講座を拡充し、活動の場の確保にも取り組みます。","","","","","",""
"R0702030102010100","3","〇〇 三郎","〇〇の会","","","","","","","","","","","","","","8/29 13:24","","","","1","認知症サポーターの実際の活動実績と、見守りネットワークとの連携状況について再質問する。","〇〇部〇〇課","","",""
"R0702030102010101","3","〇〇 三郎","〇〇の会","","","","","","","","","","","","","","8/29 13:24","","","","1","認知症サポーターの実際の活動実績と、見守りネットワークとの連携状況について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","見守りネットワーク登録者は約1,500名で、地域包括支援センターと連携した見守り訪問を月1回実施しています。"
"R0702030200000000","3","〇〇 三郎","〇〇の会","","","介護保険サービスの利用促進と在宅医療・介護連携の推進について","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702030201000000","3","〇〇 三郎","〇〇の会","","","","在宅医療と介護の連携体制の構築状況について","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702030201010000","3","〇〇 三郎","〇〇の会","","","","","多職種連携会議の開催実績と、在宅看取り体制の整備状況について問う","多職種連携会議の実施状況","在宅看取り体制の整備","","","","〇〇課","","9","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","多職種連携会議は年4回開催し、医療・介護関係者約60名が参加しています。在宅看取りに対応できる訪問診療医の確保にも取り組んでいます。","","","","","",""
"R0702040100000000","4","〇〇 四郎","〇〇クラブ","","","〇〇市デジタル・トランスフォーメーション推進計画の進捗状況と、市民の利便性向上に向けた取組について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702040101000000","4","〇〇 四郎","〇〇クラブ","","","","行政手続のオンライン化の進捗と、いわゆる「書かない窓口」の導入に向けた検討状況について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702040101010000","4","〇〇 四郎","〇〇クラブ","","","","","マイナンバーカードを活用した各種証明書のコンビニ交付の利用実績と、利用促進策の検討状況について問う","コンビニ交付の利用率","手数料格差の設定","窓口混雑の緩和効果","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","コンビニ交付の利用率は全証明書発行の約35％まで上昇しています。窓口交付との手数料格差の導入について、他自治体の効果を検証しつつ検討を進めています。","","","","","",""
"R0702040101020000","4","〇〇 四郎","〇〇クラブ","","","","","電子申請システムの導入状況と、デジタル機器の操作に不慣れな市民への支援体制について問う","対象手続の拡大計画","デジタル支援員の配置","公民館等での相談会","","","〇〇課","","4","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","電子申請の対象手続は現在120種類で、令和8年度中に200種類まで拡大予定です。デジタル支援員を各公民館に配置し、月2回の相談会を開催しています。","","","","","",""
"R0702040101020100","4","〇〇 四郎","〇〇クラブ","","","","","","","","","","","","","","8/29 13:24","","","","1","デジタル支援員の相談実績と、高齢者からの評価について再質問する。","〇〇部〇〇課","","",""
"R0702040101020101","4","〇〇 四郎","〇〇クラブ","","","","","","","","","","","","","","8/29 13:24","","","","1","デジタル支援員の相談実績と、高齢者からの評価について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","相談件数は月平均約150件で、アンケートでは9割の方から「わかりやすかった」との評価をいただいています。"
"R0702040102000000","4","〇〇 四郎","〇〇クラブ","","","","庁内情報システムの標準化・共通化への対応状況について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702040102010000","4","〇〇 四郎","〇〇クラブ","","","","","ガバメントクラウドへの移行スケジュールと、経費負担の見通しについて問う","移行スケジュール","経費負担の見通し","国庫補助の活用","","","〇〇課","","6","8/29 13:24","","","","","","","","",""
"R0702040102020000","4","〇〇 四郎","〇〇クラブ","","","","","システム標準化に伴う業務フローの見直しと職員研修の実施計画について問う","業務フローの再構築","職員研修の実施時期","","","","〇〇課","","7","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","標準準拠システムへの移行は令和8年度中に完了予定です。業務フローの見直しに合わせ、全職員を対象とした研修を計画的に実施してまいります。","","","","","",""
"R0702040200000000","4","〇〇 四郎","〇〇クラブ","","","情報セキュリティ対策の強化とデジタルデバイド対策について","","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702040201000000","4","〇〇 四郎","〇〇クラブ","","","","サイバー攻撃への対応体制と職員のセキュリティ意識向上について","","","","","","","","","9","8/29 13:24","","","","","","","","",""
"R0702040201010000","4","〇〇 四郎","〇〇クラブ","","","","","標的型攻撃メール訓練の実施状況と、インシデント発生時の対応体制について問う","訓練の実施頻度","対応体制の整備","","","","〇〇課","","10","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","標的型攻撃メール訓練は年2回実施しており、開封率は年々低下しています。インシデント対応については、CSIRT体制を整備し迅速な初動対応が可能な体制としています。","","","","","",""
"R0702050100000000","5","〇〇 五郎","〇〇会","","","公共施設等総合管理計画に基づく施設の再編・長寿命化の進捗状況について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702050101000000","5","〇〇 五郎","〇〇会","","","","老朽化が著しく進行している施設の今後の方針について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702050101010000","5","〇〇 五郎","〇〇会","","","","","老朽化した〇〇センター及び〇〇会館の劣化診断結果と、複合化・集約化の検討状況について問う","劣化診断の結果","複合化の可否","説明会の開催時期","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","両施設とも劣化診断の結果、大規模改修が必要と判定されました。複合化・集約化を含めた基本構想を策定中で、地元住民への説明会を年度内に開催する予定です。","","","","","",""
"R0702050101010100","5","〇〇 五郎","〇〇会","","","","","","","","","","","","","","8/29 13:24","","","","1","説明会での住民意見の反映方法と、基本構想の策定スケジュールについて再質問する。","〇〇部〇〇課","","",""
"R0702050101010101","5","〇〇 五郎","〇〇会","","","","","","","","","","","","","","8/29 13:24","","","","1","説明会での住民意見の反映方法と、基本構想の策定スケジュールについて再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","説明会でいただいたご意見はワークショップ形式で整理し、基本構想（案）に反映のうえ、年度末までに公表する予定です。"
"R0702050101020000","5","〇〇 五郎","〇〇会","","","","","公共施設の複合化により生じる跡地の活用方針について問う","跡地活用の検討状況","民間活力の導入可能性","","","","〇〇課","","4","8/29 13:24","","","","","","","","",""
"R0702050102000000","5","〇〇 五郎","〇〇会","","","","公共施設の長寿命化改修における財源確保について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702050102010000","5","〇〇 五郎","〇〇会","","","","","公共施設等適正管理推進事業債の活用実績と、今後の活用方針について問う","起債の活用実績","今後の活用計画","","","","〇〇課","","6","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","当該事業債は令和7年度に3施設の改修で活用しており、今後も対象施設を計画的に選定し積極的に活用してまいります。","","","","","",""
"R0702050200000000","5","〇〇 五郎","〇〇会","","","学校施設の老朽化対策及び複合化の推進について","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702050201000000","5","〇〇 五郎","〇〇会","","","","小中学校の長寿命化改修計画の進捗状況について","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702050201010000","5","〇〇 五郎","〇〇会","","","","","長寿命化改修の対象校選定基準と、改修中の教育環境確保策について問う","対象校選定の基準","仮設校舎の確保","","","","〇〇課","","9","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","築45年以上を目安に劣化度調査を実施し優先度を決定しています。改修中は特別教室の転用等により教育環境への影響を最小限に抑える工夫をしています。","","","","","",""
"R0702050201020000","5","〇〇 五郎","〇〇会","","","","","空調設備の未整備校の解消時期と、体育館への設置方針について問う","未整備校の解消時期","体育館空調の整備方針","","","","〇〇課","","10","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","普通教室への空調整備は完了しており、体育館については避難所機能も踏まえ、令和9年度までに全校整備を目指し順次進めています。","","","","","",""
"R0702060100000000","6","〇〇 六郎","〇〇党","","","2050年カーボンニュートラルの実現に向けたゼロカーボンシティ宣言後の取組について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702060101000000","6","〇〇 六郎","〇〇党","","","","公共施設への再生可能エネルギー導入と省エネルギー化の推進について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702060101010000","6","〇〇 六郎","〇〇党","","","","","公共施設への太陽光発電設備の導入実績と、今後の導入計画について問う","導入実績","今後の導入計画","蓄電池との併設","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","現在15施設に太陽光発電を導入しており、令和10年度までに主要な公共施設への導入完了を目指しています。防災拠点となる施設には蓄電池も併せて整備します。","","","","","",""
"R0702060101020000","6","〇〇 六郎","〇〇党","","","","","住宅用太陽光発電及び蓄電池設置への補助制度の利用実績について問う","補助制度の利用実績","制度周知の方法","","","","〇〇課","","4","8/29 13:24","","","","","","","","",""
"R0702060102000000","6","〇〇 六郎","〇〇党","","","","家庭ごみの減量化及びプラスチック資源循環の推進について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702060102010000","6","〇〇 六郎","〇〇党","","","","","プラスチック資源の分別収集の実施状況と、市民への周知方策について問う","分別収集の実施状況","周知方策","","","","〇〇課","","6","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","令和7年10月からプラスチック資源の一括回収を開始し、リーフレット配布及び説明会を通じて周知を図っています。","","","","","",""
"R0702060200000000","6","〇〇 六郎","〇〇党","","","気候変動に伴う気象災害の激甚化を踏まえた適応策の推進について","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702060201000000","6","〇〇 六郎","〇〇党","","","","猛暑対策としてのクーリングシェルターの整備状況について","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702060201010000","6","〇〇 六郎","〇〇党","","","","","クーリングシェルターの指定状況と、周知及び利用実績について問う","指定施設数","利用実績","周知方法","","","〇〇課","","9","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","公民館等18施設をクーリングシェルターに指定し、ホームページ及び防災アプリで周知しています。今夏の利用実績は延べ約2,000人でした。","","","","","",""
"R0702070100000000","7","〇〇 七郎","〇〇の会","","","GIGAスクール構想の深化に向けた1人1台端末の活用状況と情報活用能力の育成について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702070101000000","7","〇〇 七郎","〇〇の会","","","","1人1台端末を活用した個別最適な学びの実施状況について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702070101010000","7","〇〇 七郎","〇〇の会","","","","","学習支援ソフトを活用した個別最適な学びの実践事例と、教員のICT活用指導力向上策について問う","実践事例の共有","教員研修の充実","","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","先進的な活用事例を集めた実践事例集を作成し全校に配布しています。教員のICT活用指導力向上のため、ICT支援員による校内研修を年間を通じて実施しています。","","","","","",""
"R0702070101010100","7","〇〇 七郎","〇〇の会","","","","","","","","","","","","","","8/29 13:24","","","","1","ICT支援員の配置人数と、学校からの活用に関する要望への対応状況について再質問する。","〇〇部〇〇課","","",""
"R0702070101010101","7","〇〇 七郎","〇〇の会","","","","","","","","","","","","","","8/29 13:24","","","","1","ICT支援員の配置人数と、学校からの活用に関する要望への対応状況について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","ICT支援員は現在8名を配置し、各校月2回程度訪問しています。要望の多いトラブル対応の迅速化に向け、遠隔サポート体制も導入しました。"
"R0702070101020000","7","〇〇 七郎","〇〇の会","","","","","端末の故障・破損時の対応と、家庭への持ち帰り時のルール整備について問う","修理対応の迅速化","持ち帰りルールの周知","","","","〇〇課","","4","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","故障時は予備機を貸与し学習に支障が出ないよう対応しています。持ち帰りルールは保護者向けリーフレットを作成し全家庭へ配布しました。","","","","","",""
"R0702070102000000","7","〇〇 七郎","〇〇の会","","","","不登校児童生徒への支援とオンライン学習の活用について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702070102010000","7","〇〇 七郎","〇〇の会","","","","","不登校児童生徒数の推移と、校内教育支援センターの設置状況について問う","不登校児童生徒数の推移","教育支援センターの設置校数","","","","〇〇課","","6","8/29 13:24","","","","","","","","",""
"R0702070102020000","7","〇〇 七郎","〇〇の会","","","","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702070200000000","7","〇〇 七郎","〇〇の会","","","学校給食における地産地消の推進と食育の充実について","","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702070201000000","7","〇〇 七郎","〇〇の会","","","","地元農産物の学校給食への活用状況について","","","","","","","","","9","8/29 13:24","","","","","","","","",""
"R0702070201010000","7","〇〇 七郎","〇〇の会","","","","","地元産米・野菜の使用割合と、生産者との連携体制について問う","地元産使用割合","生産者との連携","","","","〇〇課","","10","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","地元産米は使用率100％、野菜は品目ベースで約40％を占めています。JA〇〇と連携し、安定供給に向けた作付け計画を協議しています。","","","","","",""
"R0702080100000000","8","〇〇 八郎","〇〇クラブ","","","物価高騰及び人手不足に直面する市内中小企業への支援策の充実について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702080101000000","8","〇〇 八郎","〇〇クラブ","","","","中小企業の事業継続と生産性向上に向けた支援制度の利用状況について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702080101010000","8","〇〇 八郎","〇〇クラブ","","","","","省力化投資に対する補助制度の利用実績と、今後の拡充方針について問う","補助制度の利用実績","拡充の方向性","","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","省力化投資補助は初年度で想定を上回る60件の申請があり、令和8年度予算の増額を検討しています。","","","","","",""
"R0702080101020000","8","〇〇 八郎","〇〇クラブ","","","","","事業承継支援の相談窓口の利用実績と、後継者不在企業への働きかけについて問う","相談窓口の利用実績","マッチング支援の状況","","","","〇〇課","","4","8/29 13:24","","","","","","","","",""
"R0702080102000000","8","〇〇 八郎","〇〇クラブ","","","","商店街の空き店舗対策とにぎわい創出の取組について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702080102010000","8","〇〇 八郎","〇〇クラブ","","","","","空き店舗への出店支援制度の利用実績と、商店街活性化イベントの効果について問う","出店支援の実績","イベントの経済効果","","","","〇〇課","","6","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","出店支援制度は5年間で23件の活用実績があります。商店街活性化イベントは来街者数が前年比15％増加するなど一定の効果が見られています。","","","","","",""
"R0702080200000000","8","〇〇 八郎","〇〇クラブ","","","若者・女性の地元就職及び創業支援の強化について","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702080201000000","8","〇〇 八郎","〇〇クラブ","","","","地元企業と学生をつなぐマッチング支援の取組について","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702080201010000","8","〇〇 八郎","〇〇クラブ","","","","","地元企業説明会の参加企業数及び学生の参加実績と、今後の充実策について問う","参加企業数の推移","参加学生数","","","","〇〇課","","9","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","地元企業説明会には毎年40社前後が参加し、学生の参加者は年々増加傾向にあります。オンライン開催も併用し、県外進学者の参加機会も確保しています。","","","","","",""
"R0702090100000000","9","〇〇 九郎","〇〇会","","","人口減少社会に対応したコンパクトなまちづくりと都市計画マスタープランの改定について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702090101000000","9","〇〇 九郎","〇〇会","","","","立地適正化計画に基づく居住誘導及び都市機能誘導の進捗について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702090101010000","9","〇〇 九郎","〇〇会","","","","","居住誘導区域への転入状況と、区域外での開発抑制策の運用状況について問う","居住誘導区域への転入実績","開発抑制策の運用","","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","居住誘導区域内への転入超過が3年連続で続いており、施策の効果が表れつつあると認識しています。区域外の開発については届出制度により実態把握に努めています。","","","","","",""
"R0702090101020000","9","〇〇 九郎","〇〇会","","","","","都市計画マスタープランの改定スケジュールと、市民参加の手法について問う","改定スケジュール","市民参加の手法","","","","〇〇課","","4","8/29 13:24","","","","","","","","",""
"R0702090102000000","9","〇〇 九郎","〇〇会","","","","空き家対策の推進と特定空家等への対応について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702090102010000","9","〇〇 九郎","〇〇会","","","","","空き家バンクの登録・成約実績と、特定空家等に対する行政代執行の検討状況について問う","空き家バンクの実績","特定空家への対応","","","","〇〇課","","6","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","空き家バンクは登録58件、成約22件の実績があります。特定空家等については、まず助言・指導を行い、改善が見られない場合は法に基づく措置を検討します。","","","","","",""
"R0702090102010100","9","〇〇 九郎","〇〇会","","","","","","","","","","","","","","8/29 13:24","","","","1","特定空家等に指定された件数と、実際に行政代執行に至った事例の有無について再質問する。","〇〇部〇〇課","","",""
"R0702090102010101","9","〇〇 九郎","〇〇会","","","","","","","","","","","","","","8/29 13:24","","","","1","特定空家等に指定された件数と、実際に行政代執行に至った事例の有無について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","現在4件を特定空家等に指定していますが、行政代執行に至った事例はまだありません。所有者との交渉により改善が進んでいるケースもあります。"
"R0702090200000000","9","〇〇 九郎","〇〇会","","","幹線道路の整備促進と生活道路の安全対策について","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702090201000000","9","〇〇 九郎","〇〇会","","","","通学路における交通安全対策の実施状況について","","","","","","","","","8","8/29 13:24","","","","","","","","",""
