"#META","7","2","2025-06-10","2025-06-13","perDay","4","dayBase","2025-06-10","skipWeekend","1","dayEx","{}","dayDates","{}","printSel","{""1|〇〇 一郎|〇〇会"":true,""2|〇〇 二郎|〇〇党"":true,""3|〇〇 三郎|〇〇の会"":true,""4|〇〇 四郎|〇〇クラブ"":true}","city","〇〇市"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻"
"R070201020101","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","マイナンバーカードを活用した各種証明書のコンビニ交付の利用実績と、窓口交付との手数料に差を設けることによる利用促進策の検討状況について問う","コンビニ交付の利用率","手数料格差の設定","窓口混雑の緩和効果","","","〇〇課","〇〇課 〇〇","11","8/27 22:11"
"R070201020102","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","電子申請システムの導入状況と、対象手続の拡大計画並びに高齢者などデジタル機器の操作に不慣れな市民に対する支援体制の構築について問う","対象手続の拡大計画","デジタル支援員の配置","公民館等での相談会","","","〇〇課","〇〇課 〇〇","12","8/27 22:11"
"R070201020200","1","〇〇 一郎","〇〇会","6月10日(火)","60","","庁内情報システムの標準化・共通化への対応状況と、移行完了に向けた課題について","","","","","","","","〇〇課 〇〇","13","8/27 22:11"
"R070201020201","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","ガバメントクラウドへの移行スケジュールと、移行に伴う経費負担の見通し及び国の補助制度の活用状況について問う","移行スケジュール","経費負担の見通し","国庫補助の活用","事業者選定の考え方","","〇〇課","〇〇課 〇〇","14","8/27 22:11"
"R070201020202","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","システム標準化に伴う業務フローの見直しと、職員研修の実施計画について問う","業務フローの再構築","職員研修の実施時期","","","","〇〇課","〇〇課 〇〇","15","8/27 22:11"
"R070201030000","1","〇〇 一郎","〇〇会","6月10日(火)","60","公共施設等総合管理計画に基づく施設の再編・長寿命化の進捗状況と、市民への説明のあり方について","","","","","","","","","〇〇課 〇〇","16","8/27 22:11"
"R070201030100","1","〇〇 一郎","〇〇会","6月10日(火)","60","","老朽化が著しく進行している〇〇センター及び〇〇会館の今後の方針について","","","","","","","","〇〇課 〇〇","17","8/27 22:11"
"R070201030101","1","〇〇 一郎","〇〇会","6月10日(火)","60","","","両施設の劣化診断の結果と、大規模改修又は複合化・集約化の検討状況並びに地元住民への説明会の開催予定について問う","劣化診断の結果","複合化の可否","説明会の開催時期","","","〇〇課","〇〇課 〇〇","18","8/27 22:11"
"R070202010000","2","〇〇 二郎","〇〇党","6月10日(火)","45","少子化の進行を踏まえた切れ目のない子育て支援の充実と、保育及び学童保育の受入体制の拡充について","","","","","","","","","〇〇部 〇〇","19","8/27 22:11"
"R070202010100","2","〇〇 二郎","〇〇党","6月10日(火)","45","","保育所等における待機児童及び潜在的待機児童の解消に向けた取組について","","","","","","","","〇〇部 〇〇","20","8/27 22:11"
"R070202010101","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","年度途中入所の弾力的な運用の実施状況と、保育士確保のための処遇改善策、宿舎借上げ支援制度の活用状況について問う","年度途中入所の弾力運用","保育士の処遇改善","宿舎借上げ支援の周知","","","〇〇課","〇〇部 〇〇","21","8/27 22:11"
"R070202010102","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","医療的ケア児及び障がいのある児童の受入体制の整備状況と、看護師配置の現状及び保護者の付添い負担の軽減策について問う","看護師の配置状況","付添い負担の軽減","受入園の拡大","","","〇〇課","〇〇部 〇〇","22","8/27 22:11"
"R070202010200","2","〇〇 二郎","〇〇党","6月10日(火)","45","","放課後児童クラブの待機及び施設環境の改善について","","","","","","","","〇〇部 〇〇","23","8/27 22:11"
"R070202010201","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","小学校高学年の受入枠の拡大状況と、支援員の確保、夏季休業期間中の昼食提供の実施に向けた検討状況について問う","高学年の受入枠拡大","支援員の確保","昼食提供の実施","","","〇〇課","〇〇部 〇〇","24","8/27 22:11"
"R070202020000","2","〇〇 二郎","〇〇党","6月10日(火)","45","物価高騰下における市民生活の支援と、地域経済の活性化に向けた施策の充実について","","","","","","","","","〇〇部 〇〇","25","8/27 22:11"
"R070202020100","2","〇〇 二郎","〇〇党","6月10日(火)","45","","低所得世帯及び子育て世帯に対する経済的支援の実施状況について","","","","","","","","〇〇部 〇〇","26","8/27 22:11"
"R070202020101","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","学校給食費の無償化に向けた検討状況と、実施した場合に必要となる財源の規模及び段階的実施の可能性について問う","必要財源の試算","段階的実施の可否","近隣自治体の状況","","","〇〇課","〇〇部 〇〇","27","8/27 22:11"
"R070202020102","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","就学援助制度の認定基準及び周知方法の見直しと、申請手続のオンライン化について問う","認定基準の見直し","周知方法の改善","申請のオンライン化","","","〇〇課","〇〇部 〇〇","28","8/27 22:11"
"R070202020200","2","〇〇 二郎","〇〇党","6月10日(火)","45","","市内中小企業及び個人事業主に対する支援策の充実について","","","","","","","","〇〇部 〇〇","29","8/27 22:11"
"R070202020201","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","エネルギー価格高騰に対する事業者向け支援金の実績と、今後の継続実施の考え方について問う","支援金の交付実績","継続実施の考え方","","","","〇〇部","〇〇部 〇〇","30","8/27 22:11"
"R070202020202","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","プレミアム付商品券事業の効果検証と、デジタル商品券の導入に当たってのスマートフォンを所持していない市民への配慮及び紙券との併用の考え方について問う","効果検証の結果","デジタル化の課題","紙券との併用","高齢者への配慮","","〇〇部","〇〇部 〇〇","31","8/27 22:11"
"R070202030000","2","〇〇 二郎","〇〇党","6月10日(火)","45","国民健康保険税及び介護保険料の負担のあり方と、市民負担の軽減に向けた今後の考え方について","","","","","","","","","〇〇部 〇〇","32","8/27 22:11"
"R070202030100","2","〇〇 二郎","〇〇党","6月10日(火)","45","","国民健康保険税の税率改定の考え方と、法定外繰入の解消計画の進捗状況について","","","","","","","","〇〇部 〇〇","33","8/27 22:11"
"R070202030101","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","県内統一保険料水準への移行に伴う本市の被保険者一人当たりの負担額の変化の見通しと、激変緩和措置の適用状況並びに市独自の減免制度の継続の可否について問う","一人当たり負担額の見通し","激変緩和措置の適用","独自減免制度の継続","法定外繰入の解消時期","","〇〇課","〇〇部 〇〇","34","8/27 22:11"
"R070202030102","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","子どもに係る国民健康保険税の均等割額の軽減について、国の制度に上乗せして市独自に対象年齢を拡大する考えの有無と、必要となる財源規模について問う","対象年齢の拡大","必要財源の規模","近隣自治体の実施状況","","","〇〇課","〇〇部 〇〇","35","8/27 22:11"
"R070202030200","2","〇〇 二郎","〇〇党","6月10日(火)","45","","介護保険料の段階設定の見直しと、低所得者に対する負担軽減策について","","","","","","","","〇〇部 〇〇","36","8/27 22:11"
"R070202030201","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","第〇期介護保険事業計画における保険料基準額の設定根拠と、多段階化による低所得層の負担軽減の効果について問う","基準額の設定根拠","多段階化の効果","給付費の見通し","","","〇〇課","〇〇部 〇〇","37","8/27 22:11"
"R070202030202","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","介護保険料の滞納者に対する給付制限の実施状況と、滞納に至る前の相談支援体制の充実について問う","給付制限の実施件数","相談支援体制の充実","","","","〇〇課","〇〇部 〇〇","38","8/27 22:11"
"R070202040000","2","〇〇 二郎","〇〇党","6月10日(火)","45","市民に開かれた市政運営と、広報・広聴機能の強化について","","","","","","","","","〇〇部 〇〇","39","8/27 22:11"
"R070202040100","2","〇〇 二郎","〇〇党","6月10日(火)","45","","市の広報媒体の見直しと、若年層に届く情報発信のあり方について","","","","","","","","〇〇部 〇〇","40","8/27 22:11"
"R070202040101","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","広報紙の閲読率調査の結果と、SNS及び動画配信を活用した情報発信の実施状況並びに費用対効果の検証について問う","閲読率調査の結果","SNS活用の実績","費用対効果の検証","","","〇〇課","〇〇部 〇〇","41","8/27 22:11"
"R070202040102","2","〇〇 二郎","〇〇党","6月10日(火)","45","","","市議会及び市政に関する情報について、外国人市民及び障がいのある市民に配慮したやさしい日本語、多言語化、音声読み上げ対応の実施状況について問う","やさしい日本語の導入","多言語対応の範囲","音声読み上げ対応","","","〇〇課","〇〇部 〇〇","42","8/27 22:11"
"R070203010000","3","〇〇 三郎","〇〇の会","6月10日(火)","50","高齢者福祉の充実と地域包括ケアシステムの深化・推進について","","","","","","","","","〇〇課 〇〇","43","8/27 22:11"
"R070203010100","3","〇〇 三郎","〇〇の会","6月10日(火)","50","","認知症施策の推進と本人・家族への支援体制の強化について","","","","","","","","〇〇課 〇〇","44","8/27 22:11"
"R070203010101","3","〇〇 三郎","〇〇の会","6月10日(火)","50","","","認知症サポーター養成講座の実施実績と、養成した人材の活躍の場の確保について問う","養成人数の推移","活躍の場の確保","","","","〇〇課","〇〇課 〇〇","45","8/27 22:11"
"R070203010102","3","〇〇 三郎","〇〇の会","6月10日(火)","50","","","認知症高齢者の行方不明時における早期発見の仕組みと、GPS端末の貸与制度の利用状況について問う","早期発見の仕組み","GPS端末の貸与実績","","","","〇〇課","〇〇課 〇〇","46","8/27 22:11"
"R070203010200","3","〇〇 三郎","〇〇の会","6月10日(火)","50","","介護人材の確保と定着に向けた支援について","","","","","","","","〇〇課 〇〇","47","8/27 22:11"
"R070203010201","3","〇〇 三郎","〇〇の会","6月10日(火)","50","","","介護職員初任者研修の受講費助成の実績と、市独自の処遇改善策の検討状況について問う","受講費助成の実績","市独自策の検討","","","","〇〇課","〇〇課 〇〇","48","8/27 22:11"
"R070204010000","4","〇〇 四郎","〇〇クラブ","6月10日(火)","30","市民の移動手段の確保に向けた地域公共交通の再構築について","","","","","","","","","〇〇課 〇〇","49","8/27 22:11"
"R070204010100","4","〇〇 四郎","〇〇クラブ","6月10日(火)","30","","コミュニティバスの運行ルート及び便数の見直しについて","","利用実績に基づく見直し","交通空白地域の解消","","","","〇〇課","〇〇課 〇〇","50","8/27 22:11"
