"#META","","3","city","○○市","printSel","[]"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻"
"R0031","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","環境・脱炭素施策について","","","","","","","","","","",""
"R0032","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","中心市街地について","","","","","","","","","","",""
"R0033","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","中心市街地に関する市民周知について","","","","","","","","","",""
"R0034","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","健康づくり施策について","","","","","","","","","","",""
"R0035","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","健康づくり施策の現状と今後の方針について","","","","","","","","","",""
"R0036","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","健康づくり施策に係る令和8年度予算への反映方針を伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","","財政部","議会事務局 田中","36","2026/08/20 09:00"
"R0037","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","健康づくり施策に関する市民への周知・広報の取組状況を伺う。","今後の対応方針を問う","市民への周知方法を問う","数値目標の有無を問う","","","福祉部","議会事務局 鈴木","37","2026/08/20 09:00"
"R0038","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","健康づくり施策の推進体制について","","","","","","","","","",""
"R0039","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","健康づくり施策に関する市民への周知・広報の取組状況を伺う。","予算措置の考え方を問う","","","","","子ども未来部","議会事務局 高橋","39","2026/08/20 09:00"
"R0040","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","健康づくり施策に対する市民アンケート等の実施予定はあるか伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","","健康推進部","議会事務局 伊藤","40","2026/08/20 09:00"
"R0041","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","健康づくり施策について、今後の具体的な取組内容とスケジュールを示されたい。","市民への周知方法を問う","数値目標の有無を問う","予算措置の考え方を問う","","","環境部","議会事務局 佐藤","41","2026/08/20 09:00"
"R0042","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","観光振興について","","","","","","","","","","",""
"R0043","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","観光振興の推進体制について","","","","","","","","","",""
"R0044","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","観光振興の現状と課題をどのように認識しているか、市の見解を伺う。","関係部局との連携体制を問う","","","","","都市整備部","議会事務局 田中","44","2026/08/20 09:00"
"R0045","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","観光振興に関する市民周知について","","","","","","","","","",""
"R0046","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","観光振興について、今後の具体的な取組内容とスケジュールを示されたい。","スケジュールを明確にされたい","今後の対応方針を問う","","","","建設部","議会事務局 鈴木","46","2026/08/20 09:00"
"R0047","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","","観光振興の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","数値目標の有無を問う","予算措置の考え方を問う","関係部局との連携体制を問う","","","産業観光部","議会事務局 高橋","47","2026/08/20 09:00"
"R0048","3","高橋 一郎","日本共産党市議団","令和7年9月10日","10:40～11:00","","観光振興に係る予算措置について","","","","","","","","","",""
"R0049","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","健康づくり施策について","","","","","","","","","","",""
"R0050","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","健康づくり施策の現状と今後の方針について","","","","","","","","","",""
"R0051","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","","健康づくり施策の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","現状認識を問う","","","","","教育委員会事務局","議会事務局 伊藤","51","2026/08/20 09:00"
"R0052","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","観光振興について","","","","","","","","","","",""
"R0053","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","観光振興に係る予算措置について","","","","","","","","","",""
"R0054","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","","観光振興に関する市民への周知・広報の取組状況を伺う。","今後の対応方針を問う","市民への周知方法を問う","","","","防災危機管理部","議会事務局 佐藤","54","2026/08/20 09:00"
"R0055","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","","観光振興に対する市民アンケート等の実施予定はあるか伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","現状認識を問う","","","市民協働部","議会事務局 田中","55","2026/08/20 09:00"
"R0056","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","観光振興における他自治体との連携について","","","","","","","","","",""
"R0057","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","","観光振興に対する市民アンケート等の実施予定はあるか伺う。","他自治体の事例を踏まえた検討を求める","","","","","上下水道局","議会事務局 鈴木","57","2026/08/20 09:00"
"R0058","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","","観光振興について、今後の具体的な取組内容とスケジュールを示されたい。","市民への周知方法を問う","数値目標の有無を問う","","","","総務部","議会事務局 高橋","58","2026/08/20 09:00"
"R0059","4","田中 美咲","自由民主党市議団","令和7年9月10日","11:00～11:20","","","観光振興の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","関係部局との連携体制を問う","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","企画政策部","議会事務局 伊藤","59","2026/08/20 09:00"
"R0060","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","観光振興について","","","","","","","","","","",""
"R0061","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","移住・定住促進策について","","","","","","","","","","",""
"R0062","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","","移住・定住促進策における他自治体との連携について","","","","","","","","","",""
"R0063","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","","","移住・定住促進策に係る令和8年度予算への反映方針を伺う。","スケジュールを明確にされたい","","","","","財政部","議会事務局 佐藤","63","2026/08/20 09:00"
"R0064","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","公共施設の老朽化対策について","","","","","","","","","","",""
"R0065","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","","公共施設の老朽化対策に関する市民周知について","","","","","","","","","",""
"R0066","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","","公共施設の老朽化対策に係る予算措置について","","","","","","","","","",""
"R0067","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","","","公共施設の老朽化対策の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","数値目標の有無を問う","予算措置の考え方を問う","","","","福祉部","議会事務局 田中","67","2026/08/20 09:00"
"R0068","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","","","公共施設の老朽化対策について、関係部局との連携体制はどのようになっているか伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","子ども未来部","議会事務局 鈴木","68","2026/08/20 09:00"
"R0069","5","伊藤 健二","無所属の会","令和7年9月10日","13:00～13:20","","","公共施設の老朽化対策の現状と課題をどのように認識しているか、市の見解を伺う。","今後の対応方針を問う","","","","","健康推進部","議会事務局 高橋","69","2026/08/20 09:00"
"R0070","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","デジタル人材について","","","","","","","","","","",""
"R0071","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","デジタル人材に係る予算措置について","","","","","","","","","",""
"R0072","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","デジタル人材に対する市民アンケート等の実施予定はあるか伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","","","","環境部","議会事務局 伊藤","72","2026/08/20 09:00"
"R0073","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","デジタル人材における他自治体との連携について","","","","","","","","","",""
"R0074","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","デジタル人材の現状と課題をどのように認識しているか、市の見解を伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","今後の対応方針を問う","","","都市整備部","議会事務局 佐藤","74","2026/08/20 09:00"
"R0075","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","デジタル人材に係る令和8年度予算への反映方針を伺う。","市民への周知方法を問う","","","","","建設部","議会事務局 田中","75","2026/08/20 09:00"
"R0076","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","デジタル人材の現状と今後の方針について","","","","","","","","","",""
"R0077","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","デジタル人材に係る令和8年度予算への反映方針を伺う。","関係部局との連携体制を問う","現状認識を問う","","","","産業観光部","議会事務局 鈴木","77","2026/08/20 09:00"
"R0078","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","デジタル人材に関する市民への周知・広報の取組状況を伺う。","スケジュールを明確にされたい","今後の対応方針を問う","市民への周知方法を問う","","","教育委員会事務局","議会事務局 高橋","78","2026/08/20 09:00"
"R0079","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","デジタル人材に対する市民アンケート等の実施予定はあるか伺う。","数値目標の有無を問う","","","","","防災危機管理部","議会事務局 伊藤","79","2026/08/20 09:00"
"R0080","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","地域コミュニティについて","","","","","","","","","","",""
"R0081","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","地域コミュニティに関する市民周知について","","","","","","","","","",""
"R0082","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","男女共同参画について","","","","","","","","","","",""
"R0083","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","男女共同参画の現状と今後の方針について","","","","","","","","","",""
"R0084","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","男女共同参画について、関係部局との連携体制はどのようになっているか伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","","市民協働部","議会事務局 佐藤","84","2026/08/20 09:00"
"R0085","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","男女共同参画の現状と課題をどのように認識しているか、市の見解を伺う。","今後の対応方針を問う","市民への周知方法を問う","数値目標の有無を問う","","","上下水道局","議会事務局 田中","85","2026/08/20 09:00"
"R0086","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","男女共同参画の推進体制について","","","","","","","","","",""
"R0087","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","男女共同参画の現状と課題をどのように認識しているか、市の見解を伺う。","予算措置の考え方を問う","","","","","総務部","議会事務局 鈴木","87","2026/08/20 09:00"
"R0088","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","男女共同参画に係る令和8年度予算への反映方針を伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","","企画政策部","議会事務局 高橋","88","2026/08/20 09:00"
"R0089","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","","","男女共同参画に関する市民への周知・広報の取組状況を伺う。","市民への周知方法を問う","数値目標の有無を問う","予算措置の考え方を問う","","","財政部","議会事務局 伊藤","89","2026/08/20 09:00"
"R0090","6","渡辺 由美","緑の風","令和7年9月10日","13:20～13:40","防災・減災対策について","","","","","","","","","","",""
"R0091","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","男女共同参画について","","","","","","","","","","",""
"R0092","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","","男女共同参画の推進体制について","","","","","","","","","",""
"R0093","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","","","男女共同参画の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","関係部局との連携体制を問う","","","","","福祉部","議会事務局 佐藤","93","2026/08/20 09:00"
"R0094","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","防災・減災対策について","","","","","","","","","","",""
"R0095","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","","防災・減災対策における他自治体との連携について","","","","","","","","","",""
"R0096","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","","","防災・減災対策に関する市民への周知・広報の取組状況を伺う。","スケジュールを明確にされたい","今後の対応方針を問う","","","","子ども未来部","議会事務局 田中","96","2026/08/20 09:00"
"R0097","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","","","防災・減災対策に対する市民アンケート等の実施予定はあるか伺う。","数値目標の有無を問う","予算措置の考え方を問う","関係部局との連携体制を問う","","","健康推進部","議会事務局 鈴木","97","2026/08/20 09:00"
"R0098","7","山本 大輔","新政クラブ","令和7年9月10日","13:40～14:00","","防災・減災対策の現状と今後の方針について","","","","","","","","","",""
"R0099","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","防災・減災対策について","","","","","","","","","","",""
"R0100","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","防災・減災対策の現状と今後の方針について","","","","","","","","","",""
"R0101","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","防災・減災対策に対する市民アンケート等の実施予定はあるか伺う。","現状認識を問う","","","","","環境部","議会事務局 高橋","101","2026/08/20 09:00"
"R0102","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","防災・減災対策の推進体制について","","","","","","","","","",""
"R0103","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","防災・減災対策の現状と課題をどのように認識しているか、市の見解を伺う。","今後の対応方針を問う","市民への周知方法を問う","","","","都市整備部","議会事務局 伊藤","103","2026/08/20 09:00"
"R0104","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","防災・減災対策に係る令和8年度予算への反映方針を伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","現状認識を問う","","","建設部","議会事務局 佐藤","104","2026/08/20 09:00"
"R0105","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","防災・減災対策に関する市民周知について","","","","","","","","","",""
"R0106","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","防災・減災対策に係る令和8年度予算への反映方針を伺う。","他自治体の事例を踏まえた検討を求める","","","","","産業観光部","議会事務局 田中","106","2026/08/20 09:00"
"R0107","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","防災・減災対策に関する市民への周知・広報の取組状況を伺う。","市民への周知方法を問う","数値目標の有無を問う","","","","教育委員会事務局","議会事務局 鈴木","107","2026/08/20 09:00"
"R0108","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","防災・減災対策に対する市民アンケート等の実施予定はあるか伺う。","関係部局との連携体制を問う","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","防災危機管理部","議会事務局 高橋","108","2026/08/20 09:00"
"R0109","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","DX(デジタル・トランスフォーメーション)について","","","","","","","","","","",""
"R0110","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","DX(デジタル・トランスフォーメーション)における他自治体との連携について","","","","","","","","","",""
"R0111","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","DX(デジタル・トランスフォーメーション)について、関係部局との連携体制はどのようになっているか伺う。","スケジュールを明確にされたい","","","","","市民協働部","議会事務局 伊藤","111","2026/08/20 09:00"
"R0112","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","教育環境について","","","","","","","","","","",""
"R0113","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","教育環境に関する市民周知について","","","","","","","","","",""
"R0114","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","教育環境に係る予算措置について","","","","","","","","","",""
"R0115","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","教育環境に対する市民アンケート等の実施予定はあるか伺う。","数値目標の有無を問う","予算措置の考え方を問う","","","","上下水道局","議会事務局 佐藤","115","2026/08/20 09:00"
"R0116","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","教育環境について、今後の具体的な取組内容とスケジュールを示されたい。","現状認識を問う","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","総務部","議会事務局 田中","116","2026/08/20 09:00"
"R0117","8","中村 恵子","公明党","令和7年9月11日","14:00～14:20","","","教育環境の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","今後の対応方針を問う","","","","","企画政策部","議会事務局 鈴木","117","2026/08/20 09:00"
"R0118","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","高齢者福祉施策について","","","","","","","","","","",""
"R0119","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","環境・脱炭素施策について","","","","","","","","","","",""
"R0120","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","環境・脱炭素施策に係る予算措置について","","","","","","","","","",""
"R0121","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","環境・脱炭素施策に係る令和8年度予算への反映方針を伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","","","","財政部","議会事務局 高橋","121","2026/08/20 09:00"
"R0122","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","中心市街地について","","","","","","","","","","",""
"R0123","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","中心市街地の推進体制について","","","","","","","","","",""
"R0124","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","中心市街地の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","今後の対応方針を問う","","","福祉部","議会事務局 伊藤","124","2026/08/20 09:00"
"R0125","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","中心市街地について、関係部局との連携体制はどのようになっているか伺う。","市民への周知方法を問う","","","","","子ども未来部","議会事務局 佐藤","125","2026/08/20 09:00"
"R0126","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","中心市街地に関する市民周知について","","","","","","","","","",""
"R0127","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","中心市街地について、関係部局との連携体制はどのようになっているか伺う。","関係部局との連携体制を問う","現状認識を問う","","","","健康推進部","議会事務局 田中","127","2026/08/20 09:00"
"R0128","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","中心市街地の現状と課題をどのように認識しているか、市の見解を伺う。","スケジュールを明確にされたい","今後の対応方針を問う","市民への周知方法を問う","","","環境部","議会事務局 鈴木","128","2026/08/20 09:00"
"R0129","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","中心市街地に係る令和8年度予算への反映方針を伺う。","数値目標の有無を問う","","","","","都市整備部","議会事務局 高橋","129","2026/08/20 09:00"
"R0130","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","健康づくり施策について","","","","","","","","","","",""
"R0131","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","健康づくり施策に関する市民周知について","","","","","","","","","",""
"R0132","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","健康づくり施策に係る予算措置について","","","","","","","","","",""
"R0133","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","健康づくり施策について、今後の具体的な取組内容とスケジュールを示されたい。","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","","建設部","議会事務局 伊藤","133","2026/08/20 09:00"
"R0134","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","健康づくり施策の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","今後の対応方針を問う","市民への周知方法を問う","数値目標の有無を問う","","","産業観光部","議会事務局 佐藤","134","2026/08/20 09:00"
"R0135","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","健康づくり施策における他自治体との連携について","","","","","","","","","",""
"R0136","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","健康づくり施策の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","予算措置の考え方を問う","","","","","教育委員会事務局","議会事務局 田中","136","2026/08/20 09:00"
"R0137","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","健康づくり施策について、関係部局との連携体制はどのようになっているか伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","","防災危機管理部","議会事務局 鈴木","137","2026/08/20 09:00"
"R0138","9","小林 誠","立憲民主党市議団","令和7年9月11日","14:20～14:40","","","健康づくり施策の現状と課題をどのように認識しているか、市の見解を伺う。","市民への周知方法を問う","数値目標の有無を問う","予算措置の考え方を問う","","","市民協働部","議会事務局 高橋","138","2026/08/20 09:00"
"R0139","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","中心市街地について","","","","","","","","","","",""
"R0140","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","","中心市街地の推進体制について","","","","","","","","","",""
"R0141","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","","","中心市街地に対する市民アンケート等の実施予定はあるか伺う。","関係部局との連携体制を問う","","","","","上下水道局","議会事務局 伊藤","141","2026/08/20 09:00"
